0.0001  6.5
6       3
9       2.44
12      1.93
14      1.78
16      1.55
18      1.34
19      1.22
20      1.07
22      0.95
24      0.93
26      0.83
27      0.78
28      0.71
30      0.69
36      0.68
42      0.64
49      0.72
55      0.66
61      0.63
67      0.65
